epic,task_id,task,priority,depends_on,description,dor,dod,spec_objetivo,spec_escopo,spec_entradas,spec_saidas,spec_interfaces,spec_regras,spec_observabilidade,spec_riscos,spec_testes
Discovery e Arquitetura,1.1,"Definir visão do produto, personas e boundaries",Alta,,"Formalizar visão da IDE, personas, jornadas, métricas de sucesso e limites do MVP/Fase 2.",Stakeholders identificados; objetivo de negócio claro; público-alvo definido; horizonte MVP/Fase 2 definido.,Documento de visão aprovado; personas e jornadas descritas; in-scope/out-of-scope publicado; métricas de sucesso definidas.,Evitar backlog inflado e desalinhamento estratégico.,Personas; jobs to be done; problemas-alvo; diferenciais; exclusões do MVP.,Entrevistas com equipe; stack atual; dores com IDEs e toolchain atual.,Documento de visão; mapa de jornadas; baseline de priorização.,Repositório de arquitetura/produto; template de decisão.,Não incluir feature sem aderência a persona; editor engine próprio fora do MVP.,Registro de decisões e versionamento de artefatos de produto.,Escopo excessivo; premissa errada sobre compatibilidade PyCharm.,Review com stakeholders; walkthrough de jornadas.
Discovery e Arquitetura,1.2,Produzir arquitetura de referência (C4 + domínio),Alta,1.1,"Definir arquitetura lógica/física, bounded contexts, integrações e ADRs principais.",Visão aprovada; decisão preliminar de stack tomada.,C4 L1-L3 publicados; bounded contexts definidos; fluxos principais descritos; ADRs registrados.,Criar baseline técnica para times trabalharem desacoplados.,"Contexto; containers; componentes; fluxos entre IDE, backend Python, gateway IA, runtime e registry.",Documento de visão; decisão de stack.,Diagramas C4; catálogo de ADRs; mapa de serviços.,Convenção de APIs; naming; padrões de eventos e telemetria.,Separar control plane de execution plane; evitar lock-in em LLM e registry.,"Mapear pontos obrigatórios de tracing, logs e auditoria.","Fronteiras ruins entre workspace manager, terminal proxy e policy engine.",Review técnico; threat modeling inicial; checklist de viabilidade.
Discovery e Arquitetura,1.3,Definir arquitetura de entrega e ambientes,Alta,1.2,"Desenhar dev/staging/prod, IaC, rollback, rede, storage, secrets e topologia operacional.",Arquitetura de referência pronta; cloud alvo definida.,Topologia por ambiente documentada; estratégia IaC definida; rollout/rollback definidos; requisitos de rede documentados.,Garantir operabilidade e deploy repetível desde o início.,Clusters; banco; cache; storage; ingress; secrets; CI/CD.,C4; requisitos não funcionais.,Arquitetura de ambientes; requisitos de infra; estratégia de deploy.,Módulos Terraform; pipelines; variáveis e secrets por ambiente.,Ambientes isolados; deploy imutável; segredos fora do código.,Health checks; logs; traces; métricas base.,Subdimensionamento de workspaces; custo elevado de observabilidade.,Smoke deploy; failover básico; rollback simulado.
"Identidade, Acesso e Tenant",2.1,Implementar autenticação SSO/OIDC,Alta,1.3,"Permitir login corporativo com sessão segura, callback e propagação de identidade.",IdP definido; claims mapeadas; fluxos de login/logout definidos.,Login/logout funcionais; sessão segura; claims persistidas conforme política; testes executados.,Centralizar autenticação com segurança corporativa.,OIDC; gerenciamento de sessão; refresh; logout.,Configuração do IdP; mapeamento de grupos/claims.,Sessão autenticada; identidade propagada ao backend.,Callback endpoint; middleware auth; user session object.,Sem credenciais locais no MVP; expiração conforme política; token não exposto além do necessário.,Taxa de falha de login; latência do callback; erro de claim mapping.,Claims inconsistentes; clock skew; logout incompleto.,Happy path; token expirado; logout; usuário sem grupo permitido.
"Identidade, Acesso e Tenant",2.2,"Modelar RBAC por tenant, squad e papel",Alta,2.1,Criar autorização por papel e escopo organizacional para APIs e ações da IDE.,Papéis definidos; recursos protegidos mapeados; tenant model definido.,Matriz RBAC implementada; autorização aplicada; testes cobrindo cenários críticos; documentação publicada.,"Restringir acesso a features, workspaces, extensões e modelos.",Roles; permissions; tenant scoping; squad scoping.,Modelo organizacional; recursos do sistema.,Política de acesso versionada; enforcement nas APIs.,Permission middleware; authorization service; permission model.,Deny by default; acesso cross-tenant proibido; privilégios administrativos auditados.,Acessos negados; elevação de privilégio; ações administrativas.,Policy drift; granularidade excessiva; herança ambígua.,Autorização positiva/negativa; regressão de policy; multi-tenant.
"Identidade, Acesso e Tenant",2.3,Provisionar modelo de tenant e bootstrap de usuário,Alta,2.2,"Automatizar criação de tenant, owner inicial, defaults de catálogo e políticas base.",RBAC definido; modelo de dados de tenant definido.,Tenant provisionável; usuários recebem defaults corretos; policies e catálogo inicial atribuídos; auditoria gerada.,Automatizar onboarding organizacional sem setup manual.,Criar tenant; associar grupos; definir policies default; provisionar catálogo base.,Nome do tenant; grupos; owner inicial; pacote base.,Tenant operacional e configurado.,API de provisionamento; eventos de bootstrap.,Isolamento lógico por tenant; defaults idempotentes.,Tempo de provisionamento; falhas por etapa; divergência de configuração.,Bootstrap parcial; inconsistência entre defaults e políticas.,Criação idempotente; rollback parcial; reprocessamento seguro.
Shell da IDE e UX Base,3.1,Criar shell da IDE customizado,Alta,1.2,"Entregar workbench base com layout principal, branding e slots de navegação/painéis.",Framework base definido; design tokens iniciais aprovados.,Shell funcional carregando workspace; layout principal pronto; branding aplicado; navegação estável.,Disponibilizar a estrutura principal da experiência da IDE.,Topbar; sidebar; região do editor; panels; pontos de extensão.,Design system base; framework de IDE escolhido.,Shell navegável; estrutura modular plugável.,Contratos de menu; slots de painel; registro de comandos.,Layout responsivo mínimo; dark mode first; preservar extensibilidade.,Tempo de carga inicial; falhas no bootstrap do workbench.,Customização excessiva quebrando upgrades; acoplamento ao core.,Smoke de carregamento; navegação; persistência de layout.
Shell da IDE e UX Base,3.2,Implementar sistema de temas e design system,Média,3.1,"Criar tokens, componentes base e guidelines visuais para uma UX moderna e consistente.",Shell base existente; branding aprovado.,Tokens definidos; componentes base aplicados; dark/light suportado; guideline documentado.,Dar consistência visual e permitir evolução sem retrabalho.,Cores; spacing; tipografia; ícones; estados; componentes base.,Branding; shell da IDE.,Biblioteca de UI; tokens versionados.,Package de design tokens; componente base para painel/modal/tabela/status.,Sem hardcode de cor em feature; acessibilidade mínima.,Cobertura visual e baseline de regressão.,Inconsistência entre core da IDE e componentes custom.,Regressão visual; contraste; acessibilidade.
Shell da IDE e UX Base,3.3,"Implementar navegação, command palette e settings",Média,3.1,"Criar UX operacional base com comandos, atalhos e settings por usuário/projeto/workspace.",Shell pronto; sistema de comandos definido.,Command palette funcional; settings persistidos; atalhos funcionando; documentação rápida disponível.,Garantir ergonomia próxima de IDEs modernas.,Palette; keybindings; settings; quick actions.,Shell; catálogo inicial de comandos.,Camada de comandos reutilizável; settings persistidos.,Registry de comandos; settings service; command handlers.,Comando precisa de id/label/categoria/permission check; precedence clara de settings.,Comandos mais usados; falhas por handler.,Colisão de atalhos; settings sem governança.,Persistência; autorização de comando; atalhos críticos.
Workspaces e Runtime,4.1,Modelar entidade Workspace e lifecycle,Alta,"1.2,2.3",Definir recurso central de ambiente de desenvolvimento com estados e transições válidas.,Arquitetura de runtime definida; modelo multi-tenant definido.,Workspace model implementado; estados de lifecycle definidos; API CRUD pronta; eventos emitidos.,"Ter unidade operacional para projeto, ambiente e execução.",Create; start; stop; suspend; destroy; metadata.,Tenant; owner; template; runtime profile.,Workspace versionado e auditável.,Workspace API; eventos de lifecycle.,Transições válidas de estado; ownership e isolamento por tenant.,Tempo por transição; falhas start/stop; workspaces órfãos.,Estados inconsistentes; corrida em start/stop concorrente.,State machine; idempotência; concorrência.
Workspaces e Runtime,4.2,Implementar provisionamento de workspace containerizado,Alta,"4.1,1.3","Subir ambientes isolados com imagem base controlada, quotas e health checks.",Lifecycle model pronto; estratégia de container definida; imagem base especificada.,Workspace sobe com imagem padrão; recursos configuráveis; volume montado; logs/status visíveis.,Garantir reprodutibilidade e isolamento operacional.,Container runtime; CPU/RAM; volume; bootstrap; health check.,Template; runtime profile; repo opcional.,Ambiente pronto para editor e terminal.,Provisioner service; runtime driver; status endpoint.,Imagens versionadas; bootstrap idempotente; quotas respeitadas.,Cold start; falhas de pull; consumo por workspace.,Imagens pesadas; custo por ociosidade; drift de runtime.,Start/stop; retry; quota exceeded; volume corrompido.
Workspaces e Runtime,4.3,Criar catálogo de templates de workspace,Média,4.2,"Permitir criação de ambientes a partir de stacks padrão para dados, Python e IaC.",Provisionamento básico pronto; stacks prioritárias definidas.,Templates publicados; seleção via UI/API funcionando; versionamento disponível; documentação pronta.,Padronizar ambientes e reduzir setup manual.,Templates Python; data engineering; dbt/Dataform; Terraform.,Requirements por stack.,Catálogo reutilizável de ambientes.,Template registry; template manifest.,Template imutável por versão; breaking change exige nova versão.,Template mais usado; falhas por template.,Templates inchados; drift entre template e documentação.,Bootstrap real; validação de ferramentas instaladas.
Terminal Integrado e Policy de Execução,5.1,Implementar terminal integrado,Alta,"4.2,3.1",Disponibilizar terminal interativo dentro da IDE conectado ao workspace e com múltiplas sessões.,Workspace operacional; protocolo de terminal definido.,Terminal interativo funcionando; múltiplas sessões; reconexão básica; streaming estável.,Habilitar operação real do ambiente sem sair da IDE.,Abrir sessão; enviar comando; receber stream; resize; reconectar.,Workspace ativo; identidade autenticada.,Sessão de terminal utilizável.,WebSocket/stream endpoint; terminal session API.,Sessão vinculada a workspace e usuário; autorização antes de anexar sessão.,Latência de stream; falhas de sessão; comandos iniciados/finalizados.,Vazamento de sessão; buffering/TTY ruim.,Execução interativa; reconexão; múltiplas abas; encerramento abrupto.
Terminal Integrado e Policy de Execução,5.2,Criar policy engine para comandos e execução,Alta,"5.1,2.2",Controlar o que pode ser executado no terminal com allow/block/warn por tenant e papel.,Terminal funcional; modelo de política definido.,Regras allow/block implementadas; comandos auditados; negação com feedback; policies por tenant/role suportadas.,Reduzir risco operacional e de segurança na execução via terminal.,Matching de comandos; regras por tenant/role/workspace; deny/allow/warn.,Command stream; policy config.,Decisão de execução; evento de auditoria.,Policy API; matcher; audit emitter.,Deny prevalece sobre allow; comandos com segredo são mascarados; policy versionada.,Comandos bloqueados; falsos positivos; regras mais acionadas.,Regex ingênua; bypass por shell composition.,Comandos simples; pipes; subshells; variáveis; comandos compostos.
Catálogo e Governança de Extensões,6.1,Implementar catálogo corporativo de extensões,Alta,"3.1,2.2","Criar catálogo consultável com metadados, status e curadoria de extensões homologadas.",Estratégia de registry definida; lista inicial aprovada.,Catálogo consultável por API/UI; extensões categorizadas; metadados disponíveis; status homologado/restrito/deprecated.,Controlar descoberta e uso de extensões.,Listagem; busca; metadados; status de aprovação.,Fontes externas/internas; curadoria inicial.,Catálogo disponível para instalação.,Catalog API; extension metadata schema.,Somente itens aprovados instaláveis por default; publisher e versão rastreáveis.,Extensões mais acessadas; erros de catálogo; deprecated em uso.,Metadados incompletos; dependências ocultas.,Busca; filtros; lifecycle de status.
Catálogo e Governança de Extensões,6.2,"Implementar fluxo de instalação, atualização e remoção",Alta,"6.1,4.2",Gerenciar lifecycle de extensões nos workspaces e perfis com rollback e auditoria.,Catálogo pronto; mecanismo de instalação suportado pela base IDE.,Instalar/atualizar/remover funcionando; versionamento controlado; auditoria completa; rollback básico em falha.,Permitir uso de extensões com governança operacional.,Install; update; uninstall; status; rollback.,Extensão aprovada; alvo de instalação; permissão do usuário.,Extensão presente/ausente com estado consistente.,Extension management API; event stream de lifecycle.,Instalação bloqueada se policy negar; major update pode exigir aprovação; rollback em instalação parcial.,Taxa de sucesso; tempo de instalação; falhas por extensão.,Workspace corrompido; incompatibilidade entre extensões.,Install happy path; reinstall; rollback; detecção de conflito.
Catálogo e Governança de Extensões,6.3,Implementar workflow de aprovação e curadoria,Média,"6.1,2.2","Permitir solicitação, revisão e publicação controlada de novas extensões.",Catálogo básico pronto; papéis de aprovador definidos.,Solicitação possível; avaliação registrada; decisão auditável; extensão aprovada entra no catálogo.,Evitar instalação ad-hoc sem controle.,Request; review; approve/reject; publish internal status.,Solicitação do usuário; metadados da extensão.,Decisão registrada; status alterado no catálogo.,Approval API; review state model.,Justificativa obrigatória para rejeição; evidência mínima de licença/segurança.,Tempo de aprovação; backlog de requests; extensões mais solicitadas.,Processo burocrático; backlog de aprovação virar gargalo.,Fluxo end-to-end; autorização de aprovador; reprocessamento.
AI Gateway e Orquestração,7.1,Construir AI Gateway multi-LLM,Alta,"2.2,12.1",Criar backend unificado para múltiplos providers/modelos com contrato padronizado e streaming.,Providers prioritários definidos; política de uso de modelos definida.,Gateway suporta múltiplos providers; contrato unificado; roteamento por política; streaming suportado.,Evitar lock-in e centralizar governança de IA.,Model registry; routing; auth com providers; retry; streaming.,Prompt; contexto; policy; provider config.,Resposta do modelo; usage metrics; audit event.,"Endpoints /chat, /completion, /embeddings, /models.",Modelo permitido depende de tenant/role/use case; logs com redaction; timeout e fallback por operação.,Latência por modelo; custo por tenant; erro por provider; tokens in/out.,Variação de contrato entre providers; custo descontrolado.,Mock provider; streaming; fallback; throttling.
AI Gateway e Orquestração,7.2,Implementar contexto e policy de prompt,Alta,"7.1,12.2","Filtrar, compor e mascarar contexto enviado ao LLM com limites e rastreabilidade.",Gateway pronto; fontes de contexto definidas.,Contexto filtrado por política; redaction implementada; limites configuráveis; trilha de contexto registrada.,Impedir vazamento de dados e explosão de custo/contexto.,Context builder; prompt policy; masking/redaction; truncation strategy.,Arquivos abertos; seleção do usuário; logs/terminal; políticas.,Prompt final seguro; metadados de contexto.,Context assembly service; redaction engine.,Paths sensíveis fora do contexto; segredos mascarados; contexto atribuível à origem.,Tamanho de contexto; itens bloqueados; redactions executadas.,Falso negativo em segredo; truncation remover conteúdo crítico.,Detecção de segredo; limites de contexto; políticas por tenant.
AI Gateway e Orquestração,7.3,"Implementar rate limiting, quotas e billing interno",Média,7.1,"Controlar consumo de IA por tenant, equipe, usuário e modelo.",Gateway funcional; modelo de consumo definido.,Quotas aplicadas; rate limiting ativo; métricas de uso disponíveis; bloqueio com mensagem adequada.,Tornar uso de IA financeiramente governável.,Limits por minuto; budget por período; tracking por modelo e tenant.,Usage events; política de quota.,Decisão permitir/negar; dashboards de uso.,Quota service; usage ledger.,Limites por tenant e usuário; estouro explícito; uso administrativo auditado.,Consumo agregado; p95; tenants throttled.,Contagem inconsistente em streaming; race conditions.,Burst; concorrência; reset por período; throttling.
Experiência de IA na IDE,8.1,Implementar painel de chat contextual,Alta,"7.1,3.1",Criar chat lateral integrado ao workspace com histórico e streaming.,Gateway funcional; shell da IDE pronto.,Chat funcional com streaming; contexto opcional; histórico por sessão; erros e retries tratados.,Entregar a principal interface de interação com IA.,UI chat; seleção de modelo; anexar contexto; histórico.,Prompt do usuário; contexto selecionado.,Resposta renderizada; ações derivadas possíveis.,Chat UI ↔ AI Gateway; session store.,Contexto sempre explícito/visível; mensagens sensíveis respeitam policy.,Taxa de sucesso; latência first token; uso por tipo de prompt.,UX ruim em respostas longas; contexto implícito confuso.,Streaming; reconnect; contexto ligado/desligado.
Experiência de IA na IDE,8.2,Implementar ações de IA sobre código e arquivo,Alta,"8.1,3.1",Permitir explain/fix/refactor/doc/test a partir do editor com aplicação via diff revisável.,Chat funcional; integração com editor definida.,Ações contextuais disponíveis; alteração sugerida em diff/review mode; usuário aprova antes de aplicar; auditoria mínima registrada.,Levar IA ao fluxo de desenvolvimento sem perder controle.,Explain; fix; refactor; generate test; document selection.,Seleção de código; ação escolhida; contexto opcional.,Proposta de alteração; patch/diff aplicável.,Editor actions API; patch apply service.,IA não altera arquivo silenciosamente; patch sempre revisável; diff auditado.,Ações mais usadas; taxa de aceite do patch; falhas de apply.,Patch inválido; contexto insuficiente.,Seleção simples; multi-linha; patch conflict; rollback.
Experiência de IA na IDE,8.3,Implementar assistente de troubleshooting com logs/terminal,Média,"8.1,5.1,12.2","Permitir análise assistida de stack traces, logs e comandos falhos a partir da IDE.",Gateway pronto; acesso controlado a logs/terminal definido.,Usuário pode enviar saída do terminal/logs; resposta traz causa provável e próximos passos; contexto sensível protegido; auditoria de uso registrada.,Acelerar debugging operacional e de desenvolvimento.,Análise de stack trace; erro de build; comando falho.,Logs/stacktrace; comando executado; contexto adicional.,Hipótese de causa; sugestões acionáveis.,Log attachment; terminal output capture.,Logs passam por redaction; anexar logs é explícito.,Erros por stack; tempo até resposta; cenários mais usados.,Vazamento de credenciais em logs; sugestões erradas com alta confiança.,Logs truncados; stack traces grandes; segredos em output.
Integrações de Engenharia de Dados,9.1,Integrar BigQuery com perfil e conexão segura,Alta,"12.1,4.2",Permitir navegação de metadados e execução de queries com limites e auditoria.,Estratégia de autenticação GCP definida; escopos permitidos definidos.,Conexão funcional; seleção de projeto/dataset; execução de query com limites e logs; erros de permissão tratados.,Viabilizar experiência de dados dentro da IDE com controle de custo.,Auth; listar projetos/datasets/tabelas; executar query; preview.,Credenciais/impersonation; contexto do tenant; query.,Metadados; resultados limitados; custo estimado quando aplicável.,BigQuery connector API.,Preview limitado por linhas/bytes; queries longas assíncronas; auditoria por execução.,Latência; bytes processados; erros por projeto/dataset.,Custo excessivo; permissões amplas demais.,Browse; preview; query denied; dataset inexistente.
Integrações de Engenharia de Dados,9.2,Integrar Databricks SQL / compute profile,Alta,"12.1,4.2",Permitir conexão a workspaces/warehouses Databricks com seleção de compute por policy.,Autenticação definida; perfis de compute definidos.,Conexão funcional; seleção de warehouse/cluster suportada; execução básica disponível; falhas de sessão tratadas.,Cobrir stack híbrida de engenharia de dados.,Auth; compute profile; executar SQL; preview.,Credenciais/token/profile; query.,Resultado da query; metadados de execução.,Databricks connector API.,Compute escolhido conforme policy; warehouses não permitidos ocultos.,Erro por profile; latência; volume de uso.,Token sprawl; profiles mal configurados.,Browse; execute; warehouse offline; permission denied.
Integrações de Engenharia de Dados,9.3,Integrar dbt/Dataform CLI workflows,Média,"5.1,4.3",Executar run/test/compile e expor status/logs via UX simplificada.,Terminal pronto; templates com toolchain instalada.,Comandos principais acionáveis pela UI; execução refletida no terminal/log panel; status e artefatos expostos; documentação pronta.,Reduzir fricção operacional para analytics/data engineering.,dbt run/test/compile/docs; dataform compile/run.,Projeto compatível; profile/config.,Execução; logs; status resumido.,Command wrappers; execution status API.,Comandos mapeados explicitamente; destrutivos exigem confirmação/policy.,Frequência por comando; falhas por projeto; tempo de execução.,Perfis locais inconsistentes; versões CLI divergentes.,Projeto válido; profile ausente; falha de compilação; timeout.
Integrações de Engenharia de Dados,9.4,Implementar data preview e schema explorer,Média,"9.1,9.2","Permitir navegação de schemas, colunas e preview tabular com limites e paginação.",Conectores principais prontos; UX do painel definida.,Schema explorer funcional; preview limitado e paginado; tipos/colunas exibidos; custo/erro tratados.,Facilitar inspeção de dados com controle de custo.,Listar schemas/tabelas; mostrar colunas; preview com sample/limit.,Conexão ativa; recurso selecionado.,Metadados; preview tabular.,Metadata APIs; preview APIs.,Preview nunca roda query irrestrita; limites configuráveis por tenant.,Número de previews; bytes processados; falhas por connector.,UX virar console sem governança; custos escondidos.,Tabela pequena; grande; coluna complexa; permission denied.
"Git, Templates e Bootstrap de Projeto",10.1,Implementar integração Git básica,Alta,"4.2,12.1","Permitir clone/open repo, diff, commit e sincronização básica dentro da IDE.",Workspace funcional; estratégia de credenciais Git definida.,Clone/open repo funcional; branch atual exibida; diff básico visível; commit/pull/push com validação mínima.,Permitir ciclo básico de desenvolvimento dentro da IDE.,Clone; status; diff; commit; sync básico.,URL do repo; credenciais; workspace.,Repositório local funcional.,Git service; SCM panel.,Credenciais seguras; branch protegida pode exigir policy adicional.,Falhas de clone; operações Git mais usadas.,Credenciais em logs; estado divergente UI/repo.,Repo novo; conflito; auth failure; repo grande.
"Git, Templates e Bootstrap de Projeto",10.2,Criar bootstrap de projeto por stack,Média,4.3,"Gerar projetos iniciais padronizados para Python, dados, dbt e Terraform.",Templates definidos; stacks priorizadas.,Bootstrap disponível; arquivos iniciais coerentes; README e convenções incluídos; validação pós-bootstrap executada.,Padronizar estrutura e acelerar início de projeto.,Python app; projeto data engineering; dbt; Terraform; mono-repo básico.,Template; nome do projeto; opções.,Árvore inicial criada.,Scaffold engine; template manifest.,Output versionado; template não depende de variáveis implícitas.,Templates gerados; falhas por etapa.,Templates obsoletos rápido; baixa aderência ao padrão real do time.,Scaffold completo; re-run; input inválido.
"Observabilidade, Auditoria e Telemetria",11.1,Implementar tracing e métricas dos serviços,Alta,1.3,Instrumentar backend e fluxos principais com tracing distribuído e métricas operacionais.,Serviços core existentes; stack de observabilidade definida.,Tracing ativo; métricas de API disponíveis; dashboards mínimos publicados; correlação por request/workspace/user disponível.,Permitir troubleshooting real da plataforma.,Traces; metrics; correlation ids; dashboards.,Serviços em execução.,Sinais operacionais consultáveis.,OpenTelemetry; exporters.,Correlation id obrigatório; cardinalidade controlada.,A própria task entrega observabilidade de base.,Custo por cardinalidade; tracing parcial inútil.,Geração de trace; correlação; dashboards refletindo tráfego.
"Observabilidade, Auditoria e Telemetria",11.2,Implementar auditoria de ações críticas,Alta,"2.2,11.1",Registrar ações sensíveis e administrativas em trilha auditável e pesquisável.,Ações críticas definidas; modelo de evento de auditoria definido.,Eventos críticos registrados; consulta disponível; retenção/integridade definidas; schema padronizado.,Garantir rastreabilidade de operações sensíveis.,Login; criação/destruição de workspace; instalação de extensão; uso de IA sensível; mudança de policy.,Eventos das features.,Log de auditoria pesquisável.,Audit event schema; audit write API.,Eventos imutáveis; quem/quando/o quê/onde sempre presentes.,Volume de eventos; falhas de escrita.,Auditoria virar logging genérico; perda de evento em falha transacional.,Emissão; consulta; campos obrigatórios.
"Observabilidade, Auditoria e Telemetria",11.3,Implementar telemetria de uso de produto,Média,11.1,"Capturar adoção, funis e uso das features para evolução do produto.",Jornadas prioritárias definidas; política de privacidade interna definida.,Eventos de produto instrumentados; dashboard de adoção; métricas de feature usage mensuráveis; política de coleta documentada.,Medir valor real do produto e direcionar roadmap.,Adoção por feature; funil de criação de workspace; uso de IA; uso de extensões.,Eventos do frontend/backend.,Indicadores de produto.,Analytics event schema.,Não capturar conteúdo sensível; semântica de eventos estável.,Qualidade da telemetria; perda de evento.,Coleta excessiva; eventos inconsistentes.,Schema validation; consistência frontend/backend.
"Segurança, Compliance e Secret Management",12.1,Implementar gestão de segredos,Alta,"1.3,2.2",Armazenar e disponibilizar segredos com segurança para integrações e workspaces.,Backend pronto; provider de secret store definido.,Secrets armazenados com segurança; acesso por policy; rotação mínima suportada; segredos não aparecem em logs.,Evitar exposição de credenciais em workspaces e integrações.,Create/read/use secret; reference no workspace; masking.,Credenciais e tokens.,Injeção controlada no runtime.,Secret service; mecanismo de mount/injection.,Secret não retorna em claro à UI sem motivo explícito; leitura auditada.,Falhas de acesso; uso por workspace; expiração de segredos.,Secret sprawl; segredo em env dump/log.,Create/use/revoke; autorização; redaction.
"Segurança, Compliance e Secret Management",12.2,Implementar redaction e detecção de dados sensíveis,Alta,"12.1,11.1","Detectar e mascarar segredos em logs, prompts, eventos e terminal output.",Fontes de saída mapeadas; padrões prioritários definidos.,Redaction aplicado nos fluxos críticos; padrões configuráveis; falsos positivos controlados; testes aprovados.,Reduzir vazamento acidental de credenciais e dados sensíveis.,Logs; terminal output; prompts IA; eventos auditáveis.,Streams textuais; regras de detecção.,Texto mascarado; eventos de redaction.,Redaction service.,Mascarar antes de persistir; política configurável por tenant.,Quantidade de redactions; fontes mais frequentes.,Falso negativo grave; excesso de falso positivo degradando UX.,Chaves cloud; tokens; senhas; connection strings.
"Segurança, Compliance e Secret Management",12.3,Executar threat modeling e hardening inicial,Média,"1.2,12.1",Avaliar superfícies de ataque e aplicar hardening prioritário no MVP.,Arquitetura disponível; fluxos críticos definidos.,Threat model publicado; top riscos priorizados; mitigação inicial aplicada; backlog de segurança criado.,Evitar que segurança vire atividade tardia e cosmética.,Auth; terminal; isolamento de workspace; extensões; AI gateway.,C4; fluxos; policies.,Matriz de risco; plano de mitigação.,"N/A de produto, gera backlog técnico.",Priorizar riscos exploráveis no MVP.,Eventos de segurança definidos a partir do modelo.,Segurança ficar apenas documental.,Checklist de hardening; validação das mitigações.
"Entrega, Operação e Release Engineering",13.1,Criar pipeline CI/CD do backend e frontend,Alta,1.3,"Automatizar build, lint, test, scan, artefato versionado e deploy em staging.",Repositórios e branching definidos; ambientes definidos.,Pipeline executa build/test/lint/scan; deploy automatizado para staging; gates mínimos configurados; artefatos versionados.,Garantir entrega repetível e segura.,Frontend; backend; imagens; migrations; deploy.,Código; secrets do pipeline; manifests IaC.,Artefatos implantáveis.,CI provider; registry; deploy target.,Main protegida; deploy prod exige gate; artefato imutável.,Tempo de pipeline; taxa de falha; estágio com mais erro.,Pipeline lento; acoplamento entre serviços.,Pipeline em PR; rollback; migration safe.
"Entrega, Operação e Release Engineering",13.2,"Implementar versionamento, release notes e rollout controlado",Média,13.1,"Criar disciplina de release com flags, changelog, rollout gradual e rollback documentado.",CI/CD pronto; ambientes funcionais.,Versionamento definido; release notes geradas; rollout parcial disponível; rollback documentado.,Permitir evolução frequente com baixo risco.,Semver/build version; flags; changelog; rollout progressivo.,Artefatos; features prontas.,Release previsível e rastreável.,Release registry; feature flag service.,Breaking changes exigem comunicação explícita; feature experimental atrás de flag.,Taxa de rollback; erro após release; adoção por flag.,Flag debt; releases sem governança.,Ativação/desativação de flag; rollback funcional.
"Entrega, Operação e Release Engineering",13.3,Preparar operação com runbooks e SLOs,Média,"11.1,13.1","Documentar runbooks, alertas e SLOs para os fluxos críticos da plataforma.",Observabilidade mínima pronta; fluxos críticos conhecidos.,Runbooks publicados; SLOs definidos; alertas base implementados; processo de incidente acordado.,Reduzir MTTR e improviso operacional.,Login failure; workspace provisioning failure; AI outage; extension install failure.,Métricas; serviços; riscos conhecidos.,Documentação operacional acionável.,Wiki/runbook repo; alerting system.,"Runbook com diagnóstico, mitigação, rollback e owner; alertas acionáveis.",SLI por componente; falsos alertas; MTTR.,Alert fatigue; runbooks desatualizados.,Game day leve; simulação de incidente.
